duration_days,first_fill_close,first_ts,last_fill_close,last_oracle_close,last_ts,market_index,n_candles,symbol,total_quote_volume
429.62,0.466,1723586400,0,0.979815,1760706000,36,3385,TRUMP-WIN-2024-BET,8175899.38
463.21,0.483,1724043600,0,2e-06,1764064800,37,3054,KAMALA-POPULAR-VOTE-2024-BET,23664624.12
452.96,0.259,1724256000,0,0.990015,1763391600,38,2231,FED-CUT-50-SEPT-2024-BET,222757.57
459.42,0.1,1724900400,0,0.997622,1764594000,39,2147,REPUBLICAN-POPULAR-AND-WIN-BET,180024.47
164.12,0.505,1725228000,0,0,1739408400,40,1888,BREAKPOINT-IGGYERIC-BET,1518.47
432.33,0.57,1725598800,0,1e-06,1762952400,41,1986,DEMOCRATS-WIN-MICHIGAN-BET,14052.01
145.79,0.5,1726812000,0,0,1739408400,43,1870,LANDO-F1-SGP-WIN-BET,580785.54
132.12,0.539,1727992800,0,0,1739408400,46,1870,WARWICK-FIGHT-WIN-BET,6640.83
542.38,0.501,1728658800,0.999999,0.713525,1775520000,48,12037,WLF-5B-1W-BET,7015.68
393.92,0.915,1729530000,0,0.999999,1763564400,49,1987,VRSTPN-WIN-F1-24-DRVRS-CHMP-BET,33371.29
114.83,0.3,1729486800,0,0,1739408400,50,1844,LNDO-WIN-F1-24-US-GP-BET,34.92
344.75,0,1733166000,0,1e-06,1762952400,57,1737,SUPERBOWL-LIX-LIONS-BET,452787.79
343.38,0,1733166000,0,1e-06,1762833600,58,1737,SUPERBOWL-LIX-CHIEFS-BET,327571.75
416.92,0,1739498400,0.999999,0.999999,1775520000,67,10007,NBAFINALS25-OKC-BET,72655.97
416.92,0,1739498400,1e-06,1e-06,1775520000,68,10007,NBAFINALS25-BOS-BET,10322.79
